"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
cpss_c_13,cpss_c,,radio,"לא להרגיש קרוב לחברים ולמשפחה שלך או לא לרצות להיות בסביבתם","0, בכלל לא | 1, פעם בשבוע או פחות/ מעט | 2, 2-3 פעמים בשבוע/ במידה מסוימת | 3, 4-5 פעמים בשבוע/ הרבה | 4, פעמים בשבוע או יותר/ כמעט תמיד 6",,,,,,,y,,13,cpss_c_symptoms,,
cpss_c_14,cpss_c,,radio,"קושי להרגיש רגשות טובים )כמו שמחה ואהבה( או קושי להרגיש רגשות בכלל.","0, בכלל לא | 1, פעם בשבוע או פחות/ מעט | 2, 2-3 פעמים בשבוע/ במידה מסוימת | 3, 4-5 פעמים בשבוע/ הרבה | 4, פעמים בשבוע או יותר/ כמעט תמיד 6",,,,,,,y,,14,cpss_c_symptoms,,
cpss_c_15,cpss_c,,radio,"להתרגז בקלות )למשל, לצעוק, להרביץ לאחרים, לזרוק דברים(.","0, בכלל לא | 1, פעם בשבוע או פחות/ מעט | 2, 2-3 פעמים בשבוע/ במידה מסוימת | 3, 4-5 פעמים בשבוע/ הרבה | 4, פעמים בשבוע או יותר/ כמעט תמיד 6",,,,,,,y,,15,cpss_c_symptoms,,
cpss_c_16,cpss_c,,radio,"לעשות דברים שיכולים לפגוע בך )למשל, לקחת סמים, לשתות אלכוהול, לברוח מהבית, לחתוך את עצמך(.","0, בכלל לא | 1, פעם בשבוע או פחות/ מעט | 2, 2-3 פעמים בשבוע/ במידה מסוימת | 3, 4-5 פעמים בשבוע/ הרבה | 4, פעמים בשבוע או יותר/ כמעט תמיד 6",,,,,,,y,,16,cpss_c_symptoms,,
cpss_c_17,cpss_c,,radio,"להיות מאוד זהיר או להישמר מפני סכנה )למשל, לבדוק מי ומה נמצא בסביבתך(.","0, בכלל לא | 1, פעם בשבוע או פחות/ מעט | 2, 2-3 פעמים בשבוע/ במידה מסוימת | 3, 4-5 פעמים בשבוע/ הרבה | 4, פעמים בשבוע או יותר/ כמעט תמיד 6",,,,,,,y,,17,cpss_c_symptoms,,
cpss_c_18,cpss_c,,radio,"להיות קופצני או להיבהל בקלות )למשל, כשמישהו הולך מאחוריך, כאשר נשמע רעש חזק(.","0, בכלל לא | 1, פעם בשבוע או פחות/ מעט | 2, 2-3 פעמים בשבוע/ במידה מסוימת | 3, 4-5 פעמים בשבוע/ הרבה | 4, פעמים בשבוע או יותר/ כמעט תמיד 6",,,,,,,y,,18,cpss_c_symptoms,,
cpss_c_19,cpss_c,,radio,"קושי להתרכז )למשל, קושי לעקוב אחר סיפור בטלוויזיה, לשכוח מה שקראת,קושי להקשיב בכיתה(.","0, בכלל לא | 1, פעם בשבוע או פחות/ מעט | 2, 2-3 פעמים בשבוע/ במידה מסוימת | 3, 4-5 פעמים בשבוע/ הרבה | 4, פעמים בשבוע או יותר/ כמעט תמיד 6",,,,,,,y,,19,cpss_c_symptoms,,
cpss_c_20,cpss_c,,radio,"קושי להירדם או להמשיך לישון.","0, בכלל לא | 1, פעם בשבוע או פחות/ מעט | 2, 2-3 פעמים בשבוע/ במידה מסוימת | 3, 4-5 פעמים בשבוע/ הרבה | 4, פעמים בשבוע או יותר/ כמעט תמיד 6",,,,,,,y,,20,cpss_c_symptoms,,
cpss_c_fun1,cpss_c,"האם הבעיות האלה הפריעו בתחומים הבאים בחייך במהלך החודש האחרון?
נא לסמן בעיגול מסביב ל- ""כן"" או ""לא""",radio,"לעשות דברים מהנים שאת/ה רוצה לעשות","0, לא | 1, כן",,,,,,,y,,21,cpss_c_function,,
cpss_c_fun2,cpss_c,,radio,"לעשות את המטלות שלך","0, לא | 1, כן",,,,,,,y,,22,cpss_c_function,,
cpss_c_fun3,cpss_c,,radio,"יחסים עם חברים שלך","0, לא | 1, כן",,,,,,,y,,23,cpss_c_function,,
cpss_c_fun4,cpss_c,,radio,להתפלל,"0, לא | 1, כן",,,,,,,,,24,cpss_c_function,,
cpss_c_fun5,cpss_c,,radio,"שעורי בית","0, לא | 1, כן",,,,,,,y,,25,cpss_c_function,,
cpss_c_fun6,cpss_c,,radio,"קשרים עם המשפחה שלך","0, לא | 1, כן",,,,,,,y,,26,cpss_c_function,,
cpss_c_fun7,cpss_c,,radio,"להיות שמח עם החיים שלך","0, לא | 1, כן",,,,,,,y,,27,cpss_c_function,,
cpss_c_sum,cpss_c,,calc,"cpss sum","sum([cpss_c_01],[cpss_c_02],[cpss_c_03],[cpss_c_04],[cpss_c_05],[cpss_c_06],[cpss_c_07],[cpss_c_08],[cpss_c_09],[cpss_c_10],[cpss_c_11],[cpss_c_12],[cpss_c_13],[cpss_c_14],[cpss_c_15],[cpss_c_16],[cpss_c_17],[cpss_c_18],[cpss_c_19],[cpss_c_20])",,,,,,,,,,,," @HIDDEN-SURVEY"
chs1,chs,"ששת המשפטים שמתחת מתארים כיצד ילדים חושבים על עצמם וכיצד הם עושים דברים באופן כללי. 
קרא כל משפט בעיון וחשוב על עצמך ברוב המצבים. 
הקף את העיגול אשר מתאר אותך הכי טוב. 
אנא ענה על כל השאלות. אין תשובות נכונות או לא נכונות",radio,"
אני חושב שמצבי בחיים די טוב/ אני חושב שאני מסתדר די טוב בחיים.
","1, אף פעם לא | 2, בקצת מהזמן | 3, בחלק מהזמן | 4, בהרבה מהזמן | 5, ברוב הזמן | 6, כל הזמן",,,,,,,y,,,,,
chs2,chs,,radio,"אני יכול לחשוב על דרכים רבות כיצד להשיג את הדברים בחיים החשובים לי ביותר.
","1, אף פעם לא | 2, בקצת מהזמן | 3, בחלק מהזמן | 4, בהרבה מהזמן | 5, ברוב הזמן | 6, כל הזמן",,,,,,,y,,,,,
chs3,chs,,radio,"אני מצליח בחיים כמו שאר הילדים בגילי.
","1, אף פעם לא | 2, בקצת מהזמן | 3, בחלק מהזמן | 4, בהרבה מהזמן | 5, ברוב הזמן | 6, כל הזמן",,,,,,,y,,,,,
chs4,chs,,radio,"כשאני נתקל בבעיה, אני יכול לחשוב על הרבה דרכים לפתור אותה.
","1, אף פעם לא | 2, בקצת מהזמן | 3, בחלק מהזמן | 4, בהרבה מהזמן | 5, ברוב הזמן | 6, כל הזמן",,,,,,,y,,,,,
chs5,chs,,radio,"אני חושב שהדברים שעשיתי בעבר, יעזרו לי בעתיד.
","1, אף פעם לא | 2, בקצת מהזמן | 3, בחלק מהזמן | 4, בהרבה מהזמן | 5, ברוב הזמן | 6, כל הזמן",,,,,,,y,,,,,
chs6,chs,,radio,"גם כשאחרים רוצים לפרוש, אני יודע שאני יכול למצוא דרכים לפתור את הבעיה
","1, אף פעם לא | 2, בקצת מהזמן | 3, בחלק מהזמן | 4, בהרבה מהזמן | 5, ברוב הזמן | 6, כל הזמן",,,,,,,y,,,,,
sas_1,sas_c,"אנו מעוניינים לדעת על מצבך במהלך השבועיים האחרונים.
הכנס/י בבקשה את מספר התשובה המתארת בצורה הטובה ביותר את התנהגותך בבית הספר, עם חברים/ות, ובבית במהלך השבועיים האחרונים.",radio,"כמה ימים החסרת בבית הספר במהלך 2 השבועות האחרונים?","1, לא החסרתי ימים | 2, החסרתי מעט ימים | 3, החסרתי בערך מחצית מהימים | 4, החסרתי יותר ממחצית מהימים | 5, לא הייתי בבית הספר בכלל | 6, לא היו לימודים, אינני יכול לענות",,,,,,,y,,,,,
sas_2,sas_c,,radio,"האם השלמת את כל עבודות בית הספר במהלך השבועיים האחרונים?","1, עשיתי את עבודות בית הספר טוב מאוד | 2, עשיתי את עבודות בית הספר אך היו לי מספר בעיות | 3, הייתי זקוק לעזרה ולא עשיתי את עבודות בית הספר טוב בערך חצי מהזמן | 4, עשיתי את עבודות בית הספר גרוע ברוב הזמן | 5, עשיתי את עבודות בית הספר גרוע כל הזמן | 6, לא הייתי בבית הספר, אינני יכול לענות",,,,,,,y,,,,,
sas_3,sas_c,,radio,"האם במהלך השבועיים האחרונים התביישת לגבי הדרך שבה הכנת את עבודות בית הספר?","1, אף פעם לא הרגשתי בושה | 2, פעם או פעמיים הרגשתי בושה | 3, הרגשתי בושה בערך חצי מהזמן | 4, הרגשתי בושה רב הזמן | 5, הרגשתי בושה כל הזמן | 6, לא היו לי עבודות בית הספר, אינני יכול/ה לענות",,,,,,,y,,,,,
sas_4,sas_c,,radio,"האם במהלך השבועיים האחרונים היו לך ויכוחים עם ילדים בבית הספר?","1, לא היו לי ויכוחים והסתדרתי טוב מאד | 2, בדרך כלל הסתדרתי טוב אך היו לי כמה בעיות | 3, היה לי יותר מויכוח אחד | 4, היו לי הרבה ויכוחים | 5, הייתי באפן קבוע בויכוחים | 6, לא הייתי בבית הספר, אינני יכול/ה לענות",,,,,,,y,,,,,
sas_5,sas_c,,radio,"האם במהלך השבועיים האחרונים הרגשת לא שמח בבית הספר?","1, אף פעם הרגשתי לא שמח | 2, פעם או פעמיים הרגשתי לא שמח | 3, חצי מהזמן הרגשתי לא שמח | 4, רוב הזמן הרגשתי לא שמח | 5, כל הזמן הרגשתי לא שמח | 6, לא הייתי בבית הספר, אינני יכול/ה לענות",,,,,,,y,,,,,
sas_6,sas_c,,radio,"האם עבודות בית הספר היו מעניינות במהלך השבועיים האחרונים?","1, עבודות בית הספר היו כמעט תמיד מעניינות | 2, פעם או פעמיים עבודות בית הספר לא היו מעניינות | 3, חצי מהזמן עבודות בית הספר לא היו מעניינות | 4, רב הזמן עבודות בית הספר לא היו מעניינות | 5, עבודות בית הספר מעולם לא היו מעניינות | 6, לא היו לי עבודות בית הספר, אינני יכול/ה לענות",,,,,,,y,,,,,
sas_7,sas_c,,radio,"עם כמה חברים/ות נפגשת או שוחחת בטלפון במהלך השבועיים האחרונים?","1, תשעה או יותר חברים/ות | 2, חמישה עד שמונה חברים/ות | 3, שניים עד ארבע חברים/ות | 4, חבר/ה אחד/ת | 5, אין חברים/ות",,,,,,,y,,,,,
sas_8,sas_c,,radio,"האם הייתה לך במהלך השבועיים האחרונים הזדמנות לדבר על רגשותייך ובעיותיך עם לפחות חבר/ה אחד/ת?","1, אני יכול/ה תמיד לדבר על רגשותיי | 2, אני בדרך כלל מדבר על רגשותיי | 3, בערך במחצית מהזמן הרגשתי שאני יכול/ה לדבר על רגשותיי | 4, אני בדרך כלל לא מסוגל/ת לדבר על רגשותיי | 5, אני אף פעם לא מסוגל/ת לדבר על רגשותיי | 6, אין לי חברים/ות, לא יכול לענות",,,,,,,y,,,,,
sas_9,sas_c,,radio,"כמה פעמים במהלך השבועיים האחרונים היית עם ילדים אחרים? לדוגמה: ביקרת חברים/ות,הלכת לקולנוע, משחקי כדור, הזמנת חברים/ות לביתך?","1, יותר משלש פעמים | 2, שלש פעמים | 3, פעמיים | 4, פעם אחת | 5, אף פעם",,,,,,,y,,,,,
sas_10,sas_c,,radio,"כמה זמן במהלך השבועיים האחרונים בילית בתחביבים או בפעילויות אחרות? לדוגמה: אמנות ומלאכת יד,ספורט, קריאה? ","1, אני עוסק/ת כמעט כל יום ברב זמני הפנוי בתחביבים | 2, אני עוסק בחלק מהימים חלק מזמני הפנוי בתחביבים | 3, אני עוסק/ת מעט זמן מזמני הפנוי בתחביבים | 4, אני לא עוסק בתחביבים אך מתבונן בטלוויזיה | 5, אני לא עוסק בתחביבים וגם לא מתבונן בטלוויזיה",,,,,,,y,,,,,
sas_11,sas_c,,radio,"האם היו לך ויכוחים עם חבריך במהלך השבועיים האחרונים? ","1, לא היו לי ויכוחים והסתדרנו טוב מאד | 2, היו לי כמה ויכוחים אך בדרך כלל הסתדרנו טוב מאד | 3, היה לי יותר מוויכוח אחד | 4, היו לי הרבה ויכוחים | 5, היו לי ויכוחים כל הזמן | 6, אין לי חברים/ות, לא יכול לענות",,,,,,,y,,,,,
sas_12,sas_c,,radio,"אם חבר/ה פגעו ברגשותייך במהלך השבועיים האחרונים, כמה קשה קיבלת זאת?","1, זה לא הטריד אותי או זה לא קרה | 2, התגברתי על כך תוך כמה שעות | 3, התגברתי על כך תוך כמה ימים | 4, התגברתי על כך תוך שבוע | 5, ייקח לי זמן רב עד שארגיש טוב | 6, אין לי חברים/ות, לא יכול לענות",,,,,,,y,,,,,
sas_13,sas_c,,radio,"האם חשת ביישנות או מתח עם אנשים במהלך השבועיים האחרונים?","1, הרגשתי בסדר כל הזמן | 2, לפעמים הרגשתי מתוח אך יכולתי להירגע אחרי זמן קצר | 3, כמחצית מהזמן הרגשתי מתוח | 4, רב הזמן הרגשתי מתוח | 5, כל הזמן הרגשתי מתוח | 6, לא הייתי עם אנשים, לא יכול לענות",,,,,,,y,,,,,
sas_14,sas_c,,radio,"האם הרגשת בודד וקיווית ליותר חברים/ות במהלך השבועיים האחרונים?","1, לא הרגשתי בודד | 2, הרגשתי בודד רק מספר פעמים | 3, כמחצית מהזמן הרגשתי בודד | 4, רב הזמן הרגשתי בודד | 5, כל הזמן הרגשתי בודד וקיוויתי ליותר חברים/ות | 6, לא הייתי עם אנשים, לא יכול לענות",,,,,,,y,,,,,
sas_15,sas_c,,radio,"האם הרגשת משועמם בזמנך הפנוי במהלך השבועיים האחרונים?","1, לא הרגשתי משועמם אף פעם | 2, בדרך כלל לא הרגשתי משועמם | 3, כמחצית מהזמן הרגשתי משועמם | 4, רב הזמן הרגשתי משועמם | 5, כל הזמן הרגשתי משועמם",,,,,,,y,,,,,
sas_16,sas_c,,radio,"האם היו לך ויכוחים עם הוריך במהלך השבועיים האחרונים?","1, אנחנו תמיד הסתדרנו טוב מאד | 2, אנחנו בדרך כלל מסתדרים טוב מאד אך היו לנו מספר ויכוחים | 3, היה לי יותר מויכוח אחד עם לפחות הורה אחד | 4, היו לי הרבה ויכוחים | 5, היו לי ויכוחים כל הזמן | 6, לא היה לי קשר עם הורי בשבועיים האחרונים, לא יכול לענות",,,,,,,y,,,,,
sas_17,sas_c,,radio,"האם הייתה לך במהלך השבועיים האחרונים הזדמנות לדבר על רגשותייך ובעיות עם הוריך?","1, אני יכול/ה תמיד לדבר על רגשותיי עם הורי | 2, אני בדרך כלל יכול לדבר על רגשותיי | 3, בערך במחצית מהזמן הרגשתי שאני יכול/ה לדבר על רגשותיי | 4, אני בדרך כלל לא מסוגל/ת לדבר על רגשותיי | 5, אני אף פעם לא מסוגל/ת לדבר על רגשותיי | 6, לא היה לי קשר עם הורי בשבועיים האחרונים, לא יכול לענות",,,,,,,y,,,,,
sas_18,sas_c,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">האם במהלך השבועיים האחרונים רצית </span>לעשות ההפך<span style=""font-weight: normal;""> ממה שהוריך רצו כדי לגרום להם לכעוס?</span></p></div>","1, מעולם לא רציתי לעשות ההפך ממה שהורי רצו | 2, פעם או פעמיים רציתי לעשות ההפך ממה שהורי רצו | 3, בערך מחצית מהזמן רציתי לעשות ההפך ממה שהורי רצו | 4, רב הזמן רציתי לעשות ההפך ממה שהורי רצו | 5, תמיד רציתי לעשות ההפך ממה שהורי רצו | 6, לא יכול לענות",,,,,,,y,,,,,
sas_19,sas_c,,radio,"האם היית מודאג/ת מדברים אשר קורים למשפחתך, ללא סיבה טובה, במהלך השבועיים האחרונים?","1, לא הייתי מודאג ללא סיבה | 2, דאגתי פעם או פעמיים | 3, בערך מחצית מהזמן דאגתי | 4, דאגתי רב הזמן | 5, דאגתי כל הזמן",,,,,,,y,,,,,
sas_20,sas_c,,radio,"האם במהלך השבועיים האחרונים הרגשת שאכזבת את משפחתך או שהיית לא הוגן כלפיהם באיזה שהוא זמן?","1, לא הרגשתי בדרך כלל שאכזבתי אותם בכלל | 2, לא הרגשתי בדרך כלל שאכזבתי אותם | 3, בערך מחצית מהזמן הרגשתי שאכזבתי אותם | 4, רב הזמן הרגשתי שאכזבתי אותם | 5, תמיד הרגשתי שאכזבתי אותם",,,,,,,y,,,,,
sas_21,sas_c,,radio,"האם במהלך השבועיים האחרונים הרגשת שמשפחתך אכזבה אותך או הייתה לא הוגנת אליך?","1, לא הרגשתי מעולם שהם אכזבו אותי | 2, לא הרגשתי בדרך כלל שהם אכזבו אותי | 3, כמחצית מהזמן הרגשתי שהם אכזבו אותי | 4, בדרך כלל הרגשתי שהם אכזבו אותי | 5, אני מאד כועס כי הם אכזבו אותי",,,,,,,y,,,,,
sas_22,sas_c,,radio,"למתבגרים בלבד (12-17 שנים)
כמה פעמים יצאת עם בן/ת זוג במהלך השבועיים האחרונים?","1, יותר משלוש פעמים | 2, שלוש פעמים | 3, פעמיים | 4, פעם אחת | 5, אף פעם | 6, מתחת לגיל 12, לא יכול/ה לענות",,,,,,,,,,,,
sas_23,sas_c,,radio,"למתבגרים בלבד (12-17 שנים)
האם היית מעוניין/ת לצאת עם בן/ת זוג במהלך השבועיים האחרונים?","1, אני תמיד מעוניין/ת לצאת עם בן/ת זוג | 2, רב הזמן אני מעוניין/ת | 3, כמחצית מהזמן אינני מעוניין/ת | 4, רב הזמן אינני מעוניין/ת | 5, אני באופן מוחלט לא מעוניין/ת | 6, מתחת לגיל 12, לא יכול/ה לענות",,,,,,,,,,,,
mpss1,mspss,"אנו מבקשים לדעת מהי הרגשתך לגבי המשפטים הבאים. קרא/י כל משפט וציין/י באיזו מידה הוא מתאים להרגשתך ברגע זה. התשובות האפשריות הן מ- 1 עד 7, כאשר הספרה 7 מציינת התאמה רבה מאוד של המשפט להרגשתך, והספרה 1 מציינת אי התאמה רבה מאוד להרגשתך.
",radio,"יש אדם קרוב לי הנמצא בקרבתי כשאני נזקק/ת לו","1, לא מתאים במידה רבה מאוד | 2,  | 3,  | 4,  | 5,  | 6,  | 7, מתאים במידה רבה מאוד",,,,,,,y,,,mpss,,
mpss2,mspss,,radio,"יש אדם קרוב שאני יכול/ה לשתף בצער ובשמחה","1, לא מתאים במידה רבה מאוד | 2,  | 3,  | 4,  | 5,  | 6,  | 7, מתאים במידה רבה מאוד",,,,,,,y,,,mpss,,
mpss3,mspss,,radio,"משפחתי באמת מנסה לעזור לי","1, לא מתאים במידה רבה מאוד | 2,  | 3,  | 4,  | 5,  | 6,  | 7, מתאים במידה רבה מאוד",,,,,,,y,,,mpss,,
mpss4,mspss,,radio,"אני מקבל/ת ממשפחתי את העזרה והתמיכה הרגשית שאני זקוק/ה לה","1, לא מתאים במידה רבה מאוד | 2,  | 3,  | 4,  | 5,  | 6,  | 7, מתאים במידה רבה מאוד",,,,,,,y,,,mpss,,
mpss5,mspss,,radio,"יש אדם קרוב אליי שהוא בשבילי מקור עידוד","1, לא מתאים במידה רבה מאוד | 2,  | 3,  | 4,  | 5,  | 6,  | 7, מתאים במידה רבה מאוד",,,,,,,y,,,mpss,,
mpss6,mspss,,radio,"חבריי מנסים באמת לעזור לי","1, לא מתאים במידה רבה מאוד | 2,  | 3,  | 4,  | 5,  | 6,  | 7, מתאים במידה רבה מאוד",,,,,,,y,,,mpss,,
mpss7,mspss,,radio,"אני יכול/ה לסמוך על  חברי/חברותי כאשר מתעוררות בעיות","1, לא מתאים במידה רבה מאוד | 2,  | 3,  | 4,  | 5,  | 6,  | 7, מתאים במידה רבה מאוד",,,,,,,y,,,mpss,,
mpss8,mspss,,radio,"אני יכול/ה לשוחח על בעיותי עם משפחתי","1, לא מתאים במידה רבה מאוד | 2,  | 3,  | 4,  | 5,  | 6,  | 7, מתאים במידה רבה מאוד",,,,,,,y,,,mpss,,
mpss9,mspss,,radio,"יש לי חברים/ות שאותם אני יכול/ה לשתף בדברים שמשמחים  אותי ובדברים שמצערים אותי","1, לא מתאים במידה רבה מאוד | 2,  | 3,  | 4,  | 5,  | 6,  | 7, מתאים במידה רבה מאוד",,,,,,,y,,,mpss,,
mpss10,mspss,,radio,"יש לי אדם קרוב שרגשותיי  חשובים לו/ה","1, לא מתאים במידה רבה מאוד | 2,  | 3,  | 4,  | 5,  | 6,  | 7, מתאים במידה רבה מאוד",,,,,,,y,,,mpss,,
mpss11,mspss,,radio,"משפחתי מוכנה לעזור לי לקבל החלטות","1, לא מתאים במידה רבה מאוד | 2,  | 3,  | 4,  | 5,  | 6,  | 7, מתאים במידה רבה מאוד",,,,,,,y,,,mpss,,
mpss12,mspss,,radio,"אני יכול/ה לדבר על בעיותי עם  חברי/חברותי","1, לא מתאים במידה רבה מאוד | 2,  | 3,  | 4,  | 5,  | 6,  | 7, מתאים במידה רבה מאוד",,,,,,,y,,,mpss,,
satis_1,csq4_c,"בשאלון זה אנו מעונינים לשמוע מה דעתך לגבי הטיפול שעברת 
אנא סמן את המס' המתאים:

האם אחרי הטיפול את/ה חושב/ת  ש- ",radio,"במצב הרוח שלך חל","1, 1-שיפור גדול מאוד | 2, 2-שיפור גדול | 3, 3-שיפור קל | 4, 4-ללא שיפור | 5, 5-החמרה קלה | 6, 6-החמרה גדולה | 7, 7-החמרה גדולה מאוד",,,,,,,y,,,satisfaction,,
satis_2,csq4_c,,radio,"ברמת הסיכון האובדני שלך חל","1, 1-שיפור גדול מאוד | 2, 2-שיפור גדול | 3, 3-שיפור קל | 4, 4-ללא שיפור | 5, 5-החמרה קלה | 6, 6-החמרה גדולה | 7, 7-החמרה גדולה מאוד",,,,,,,y,,,satisfaction,,
satis_3,csq4_c,,radio,"ביחסים הבינאישיים שלי חל","1, 1-שיפור גדול מאוד | 2, 2-שיפור גדול | 3, 3-שיפור קל | 4, 4-ללא שיפור | 5, 5-החמרה קלה | 6, 6-החמרה גדולה | 7, 7-החמרה גדולה מאוד",,,,,,,y,,,satisfaction,,
satis_4,csq4_c,,radio,"האם היית ממליץ/ה לחבר/ה להשתתף בתהליך ייעוץ שכזה?","1, כן | 2, לא",,,,,,,,,,,,
wai_1,wai_c,".בחלק הבא תמצא/י משפטים המתארים רגשות או מחשבות שעשויים להתעורר אצל מטופל/ת ביחס למטפל/ת ולטיפול שניתן לו.
אם המשפט מתאר דבר שאת/ה תמיד מרגיש/ה (או חושב/ת) סמן את המספר 7.
אם זהו דבר שלעולם אינך מרגיש/ה או חושב/ת סמן את המספר 1.
השתמש/י במספרי הביניים כדי לתאר את מה שבין קצוות אלה.

אם אינך כרגע בטיפול במרפאה, אנא התייחס בתשובתך לאיש המקצוע שאתה פוגש כאשר אתה מגיע לביקור במרפאה***

אנא, ענה/י על השאלון במהירות, אנו מעוניינים ברושם הראשון העולה בדעתך.
",radio,"המטפל/ת שלי ואני מסכימים לגבי הדברים שאצטרך לעשות בטיפול על מנת לשפר את מצבי","1, 1-בשום אופן לא מתאר את הרגשתי | 2, 2-רחוק מתיאור הרגשתי | 3, 3-די רחוק מתיאור הרגשתי | 4, 4-מתאר במידה מסוימת את הרגשתי | 5, 5-מתקרב לתיאור הרגשתי | 6, 6-מתקרב מאוד לתיאור הרגשתי | 7, 7-מתאר במדויק את הרגשתי",,,,,,,y,,,wai,,
wai_2,wai_c,,radio,"מה שאני עושה בטיפול מאפשר לי לראות את הבעיה שלי בדרכים חדשות","1, 1-בשום אופן לא מתאר את הרגשתי | 2, 2-רחוק מתיאור הרגשתי | 3, 3-די רחוק מתיאור הרגשתי | 4, 4-מתאר במידה מסוימת את הרגשתי | 5, 5-מתקרב לתיאור הרגשתי | 6, 6-מתקרב מאוד לתיאור הרגשתי | 7, 7-מתאר במדויק את הרגשתי",,,,,,,y,,,wai,,
wai_3,wai_c,,radio,"אני מאמין/ה שהמטפל/ת שלי מחבב/ת אותי","1, 1-בשום אופן לא מתאר את הרגשתי | 2, 2-רחוק מתיאור הרגשתי | 3, 3-די רחוק מתיאור הרגשתי | 4, 4-מתאר במידה מסוימת את הרגשתי | 5, 5-מתקרב לתיאור הרגשתי | 6, 6-מתקרב מאוד לתיאור הרגשתי | 7, 7-מתאר במדויק את הרגשתי",,,,,,,y,,,wai,,
wai_4,wai_c,,radio,"המטפל/ת שלי אינו מבין מה אני מנסה להשיג בטיפול","1, 1-בשום אופן לא מתאר את הרגשתי | 2, 2-רחוק מתיאור הרגשתי | 3, 3-די רחוק מתיאור הרגשתי | 4, 4-מתאר במידה מסוימת את הרגשתי | 5, 5-מתקרב לתיאור הרגשתי | 6, 6-מתקרב מאוד לתיאור הרגשתי | 7, 7-מתאר במדויק את הרגשתי",,,,,,,y,,,wai,,
wai_5,wai_c,,radio,"אני בטוח/ה ביכולתו/ה של המטפל/ת שלי לעזור לי","1, 1-בשום אופן לא מתאר את הרגשתי | 2, 2-רחוק מתיאור הרגשתי | 3, 3-די רחוק מתיאור הרגשתי | 4, 4-מתאר במידה מסוימת את הרגשתי | 5, 5-מתקרב לתיאור הרגשתי | 6, 6-מתקרב מאוד לתיאור הרגשתי | 7, 7-מתאר במדויק את הרגשתי",,,,,,,y,,,wai,,
wai_6,wai_c,,radio,"המטפל/ת שלי ואני עובדים למען מטרות ששנינו מסכימים עליהן","1, 1-בשום אופן לא מתאר את הרגשתי | 2, 2-רחוק מתיאור הרגשתי | 3, 3-די רחוק מתיאור הרגשתי | 4, 4-מתאר במידה מסוימת את הרגשתי | 5, 5-מתקרב לתיאור הרגשתי | 6, 6-מתקרב מאוד לתיאור הרגשתי | 7, 7-מתאר במדויק את הרגשתי",,,,,,,y,,,wai,,
wai_7,wai_c,,radio,"אני מרגיש/ה שהמטפל/ת שלי מעריך/ה אותי","1, 1-בשום אופן לא מתאר את הרגשתי | 2, 2-רחוק מתיאור הרגשתי | 3, 3-די רחוק מתיאור הרגשתי | 4, 4-מתאר במידה מסוימת את הרגשתי | 5, 5-מתקרב לתיאור הרגשתי | 6, 6-מתקרב מאוד לתיאור הרגשתי | 7, 7-מתאר במדויק את הרגשתי",,,,,,,y,,,wai,,
wai_8,wai_c,,radio,"אנחנו מסכימים לגבי הדברים החשובים שעליי לעבוד עליהם","1, 1-בשום אופן לא מתאר את הרגשתי | 2, 2-רחוק מתיאור הרגשתי | 3, 3-די רחוק מתיאור הרגשתי | 4, 4-מתאר במידה מסוימת את הרגשתי | 5, 5-מתקרב לתיאור הרגשתי | 6, 6-מתקרב מאוד לתיאור הרגשתי | 7, 7-מתאר במדויק את הרגשתי",,,,,,,y,,,wai,,
wai_9,wai_c,,radio,"המטפל/ת שלי ואני בוטחים זה בזה","1, 1-בשום אופן לא מתאר את הרגשתי | 2, 2-רחוק מתיאור הרגשתי | 3, 3-די רחוק מתיאור הרגשתי | 4, 4-מתאר במידה מסוימת את הרגשתי | 5, 5-מתקרב לתיאור הרגשתי | 6, 6-מתקרב מאוד לתיאור הרגשתי | 7, 7-מתאר במדויק את הרגשתי",,,,,,,y,,,wai,,
wai_10,wai_c,,radio,"למטפל/ת שלי ולי יש דעות שונות לגבי מהן הבעיות שלי","1, 1-בשום אופן לא מתאר את הרגשתי | 2, 2-רחוק מתיאור הרגשתי | 3, 3-די רחוק מתיאור הרגשתי | 4, 4-מתאר במידה מסוימת את הרגשתי | 5, 5-מתקרב לתיאור הרגשתי | 6, 6-מתקרב מאוד לתיאור הרגשתי | 7, 7-מתאר במדויק את הרגשתי",,,,,,,y,,,wai,,
wai_11,wai_c,,radio,"המטפל/ת שלי ואני ביססנו הבנה טובה של סוג השינויים שיהיו נכונים בעבורי","1, 1-בשום אופן לא מתאר את הרגשתי | 2, 2-רחוק מתיאור הרגשתי | 3, 3-די רחוק מתיאור הרגשתי | 4, 4-מתאר במידה מסוימת את הרגשתי | 5, 5-מתקרב לתיאור הרגשתי | 6, 6-מתקרב מאוד לתיאור הרגשתי | 7, 7-מתאר במדויק את הרגשתי",,,,,,,y,,,wai,,
