"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
ders_12_p_m,ders_p_m,,radio,"כשאני נסער/ת, אני נבוך/ה מזה שאני מרגיש/ה כך","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_2_p_m,,
ders_13_p_m,ders_p_m,,radio,"כשאני נסער/ת, קשה לי לסיים עבודה","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_2_p_m,,
ders_14_p_m,ders_p_m,,radio,"כשאני נסער/ת, אני מאבד/ת שליטה","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_2_p_m,,
ders_15_p_m,ders_p_m,,radio,"כשאני נסער/ת, אני מאמין/ה שאמשיך להרגיש כך עוד הרבה זמן","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_2_p_m,,
ders_16_p_m,ders_p_m,,radio,"כשאני נסער/ת, אני מאמין/ה שבסוף אני אהיה ממש מדוכא/ת","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_2_p_m,,
ders_17_p_m,ders_p_m,,radio,"כשאני נסער/ת, אני מאמין/ה שרגשותיי תקפים וחשובים","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_3_p_m,,
ders_18_p_m,ders_p_m,,radio,"כשאני נסער/ת, אני מתקשה להתרכז בדברים אחרים","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_3_p_m,,
ders_19_p_m,ders_p_m,,radio,"כשאני נסער/ת, אני מרגיש/ה חסר/ת שליטה","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_3_p_m,,
ders_20_p_m,ders_p_m,,radio,"כשאני נסער/ת, אני עדיין יכול/ה לסיים דברים","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_3_p_m,,
ders_21_p_m,ders_p_m,,radio,"כשאני נסער/ת, אני מתבייש/ת בעצמי על זה שאני מרגיש/ה כך","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_3_p_m,,
ders_22_p_m,ders_p_m,,radio,"כשאני נסער/ת, אני יודע/ת שאוכל למצוא דרך כדי להרגיש טוב יותר בסופו של דבר","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_3_p_m,,
ders_23_p_m,ders_p_m,,radio,"כשאני נסער/ת, אני מרגיש/ה שאני חלש/ה","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_3_p_m,,
ders_24_p_m,ders_p_m,,radio,"כשאני נסער/ת, אני מרגיש/ה שאני יכול/ה להישאר בשליטה על ההתנהגויות שלי","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_3_p_m,,
ders_25_p_m,ders_p_m,,radio,"כשאני נסער/ת אני מרגיש/ה אשם/ה על זה שאני מרגיש/ה כך","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_4_p_m,,
ders_26_p_m,ders_p_m,,radio,"כשאני נסער, קשה לי להתרכז","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_4_p_m,,
ders_27_p_m,ders_p_m,,radio,"כשאני נסער, יש לי קושי לשלוט על ההתנהגויות שלי","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_4_p_m,,
ders_28_p_m,ders_p_m,,radio,"כשאני נסער, אני מאמין שאין בידי לעשות דבר כדי להרגיש טוב יותר","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_4_p_m,,
ders_29_p_m,ders_p_m,,radio,"כשאני נסער, אני מתרגז על עצמי על זה שמרגיש כך","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_4_p_m,,
ders_30_p_m,ders_p_m,,radio,"כשאני נסער, אני מתחיל להרגיש רע מאוד לגבי עצמי","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_4_p_m,,
ders_31_p_m,ders_p_m,,radio,"כשאני נסער, אני מאמין שאין לי מה לעשות חוץ מלהמשיך להתבוסס ברגשותי","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_4_p_m,,
ders_32_p_m,ders_p_m,,radio,"כשאני נסער, אני מאבד שליטה על ההתנהגויות שלי","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_4_p_m,,
ders_33_p_m,ders_p_m,,radio,"כשאני נסער, קשה לי לחשוב על כל דבר אחר","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_5_p_m,,
ders_34_p_m,ders_p_m,,radio,"כשאני נסער, אני לוקח זמן כדי להבין מה אני באמת מרגיש","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_5_p_m,,
ders_35_p_m,ders_p_m,,radio,"כשאני נסער, לוקח לי הרבה זמן להרגיש יותר טוב","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_5_p_m,,
ders_36_p_m,ders_p_m,,radio,"שאני נסער, הרגשות שלי מציפים אותי","1, 1-כמעט אף פעם לא | 2, 2-לפעמים | 3, 3-בערך חצי מהזמן | 4, 4-רוב הזמן | 5, 5-כמעט תמיד",,,,,,,y,,,ders_5_p_m,,
erq_1_m,erq_m,"אנחנו מעוניינים לשאול אותך מספר שאלות הנוגעות לחייך הרגשיים.
נשאל אותך שאלות הנוגעות לדרך בה אתה שולט ברגשותיך (כלומר, כיצד את/ה מווסת/ת ומתמודד/ת איתן).
השאלות שלפניך מתייחסות לשני היבטים של חייך הרגשיים:
האחד הוא החוויה הרגשית שלך, או כיצד את/ה מרגיש בפנים. 
האחר, הוא הביטוי הרגשי  שלך, או כיצד את/ה מראה את הרגשות שלך בדיבור, בשפת הגוף שלך או דרך ההתנהגות.
למרות שחלק מן השאלות הבאות עשויות להיראות דומות זו לזו, הן שונות האחת מן השנייה בהיבטים חשובים.",radio,"כאשר אני רוצה שתהיה לי הרגשה יותר חיובית (כמו שמחה או שעשוע), אני חושב/ת על משהו אחר","1, 1-לא מסכים/ה בכלל | 2, 2 | 3, 3 | 4, 4-נייטרלי/ת | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,,,,erq_m,,
erq_2_m,erq_m,,radio,"אני שומר/ת את הרגשות שלי לעצמי","1, 1-לא מסכים/ה בכלל | 2, 2 | 3, 3 | 4, 4-נייטרלי/ת | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,,,,erq_m,,
erq_3_m,erq_m,,radio,"כאשר אני רוצה להרגיש פחות רגש שלילי (כמו עצבות או כעס), אני חושב/ת על משהו אחר","1, 1-לא מסכים/ה בכלל | 2, 2 | 3, 3 | 4, 4-נייטרלי/ת | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,,,,erq_m,,
erq_4_m,erq_m,,radio,"כאשר אני חש/ה רגשות חיוביים, אני נזהר/ת שלא לבטא אותם","1, 1-לא מסכים/ה בכלל | 2, 2 | 3, 3 | 4, 4-נייטרלי/ת | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,,,,erq_m,,
erq_5_m,erq_m,,radio,"כאשר אני עומד/ת בפני עצב מלחיץ, אני גורם/ת לעצמי לחשוב עליו בדרך שתעזור לי להישאר רגוע","1, 1-לא מסכים/ה בכלל | 2, 2 | 3, 3 | 4, 4-נייטרלי/ת | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,,,,erq_m,,
erq_6_m,erq_m,,radio,"אני שולט/ת ברגשות שלי על ידי כך שאני לא מבטא/ת אותם","1, 1-לא מסכים/ה בכלל | 2, 2 | 3, 3 | 4, 4-נייטרלי/ת | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,,,,erq_m,,
erq_7_m,erq_m,,radio,"כאשר אני מעוניין/ת להרגיש יותר רגשות חיוביים, אני משנה את הדרך שבה אני חושב/ת על הסיטואציה","1, 1-לא מסכים/ה בכלל | 2, 2 | 3, 3 | 4, 4-נייטרלי/ת | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,,,,erq_m,,
erq_8_m,erq_m,,radio,"אני שולט/ת ברגשות שלי על ידי כך שאני משנה את הדרך שבה אני חושב/ת על הסיטואציה בה אני נמצא/ת","1, 1-לא מסכים/ה בכלל | 2, 2 | 3, 3 | 4, 4-נייטרלי/ת | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,,,,erq_m,,
erq_9_m,erq_m,,radio,"כאשר אני חש/ה רגשות שליליים, אני מקפיד/ה שלא לבטא אותם","1, 1-לא מסכים/ה בכלל | 2, 2 | 3, 3 | 4, 4-נייטרלי/ת | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,,,,erq_m,,
erq_10_m,erq_m,,radio,"כאשר אני מעוניין/ת להרגיש פחות רגשות שליליים, אני משנה את הדרך שבה אני חושב/ת על הסיטואציה","1, 1-לא מסכים/ה בכלל | 2, 2 | 3, 3 | 4, 4-נייטרלי/ת | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,,,,erq_m,,
ari_p_1_m,arippps_m,"עבור כל פריט, אנא סמן ""לא נכון"", ""נכון במקצת"" או ""בהחלט נכון"". 
בהשוואה לאחרים באותו הגיל, עד כמה כל אחד מהמשפטים הבאים מתאר את ההתנהגות/הרגשה של ילדך/ילדתך במהלך ששת החודשים האחרונים? 
אנא השתדל/י לענות על כל הפריטים.",radio,"מתעצבן/ת בקלות בגלל אחרים","0, 0-לא נכון | 1, 1-נכון במקצת | 2, 2-בהחלט נכון",,,,,,,y,,,ari_p_m,,
ari_p_2_m,arippps_m,,radio,"לעיתים קרובות מאבד/ת שליטה על המזג שלו/ה","0, 0-לא נכון | 1, 1-נכון במקצת | 2, 2-בהחלט נכון",,,,,,,y,,,ari_p_m,,
ari_p_3_m,arippps_m,,radio,"נשאר/ת כועס/ת למשך הרבה זמן","0, 0-לא נכון | 1, 1-נכון במקצת | 2, 2-בהחלט נכון",,,,,,,y,,,ari_p_m,,
ari_p_4_m,arippps_m,,radio,"כועס/ת רוב הזמן","0, 0-לא נכון | 1, 1-נכון במקצת | 2, 2-בהחלט נכון",,,,,,,y,,,ari_p_m,,
ari_p_5_m,arippps_m,,radio,"כועס/ת לעיתים קרובות","0, 0-לא נכון | 1, 1-נכון במקצת | 2, 2-בהחלט נכון",,,,,,,y,,,ari_p_m,,
ari_p_6_m,arippps_m,,radio,"מאבד/ת שליטה על המזג שלו/ה בקלות","0, 0-לא נכון | 1, 1-נכון במקצת | 2, 2-בהחלט נכון",,,,,,,y,,,ari_p_m,,
ari_p_7_m,arippps_m,,radio,"בגדול, העצבנות שלו/ה גורמת לו/ה לבעיות","0, 0-לא נכון | 1, 1-נכון במקצת | 2, 2-בהחלט נכון",,,,,,,y,,,ari_p_m,,
pps_1_m,arippps_m,"אנא ענה/י על השאלות הבאות בהתבסס על היכרותך עם ילדך",radio,"בהתבסס על היכרותך עם ילדך, אם לא יטופל, מה הסיכוי שיבצע ניסיון אובדני בחודש הקרוב?","0, 0-לא סביר כלל | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10- בסבירות גבוהה מאוד",,,,,,,,,,pps_1_m,,
pps_2_m,arippps_m,,radio,"בהתבסס על היכרותך עם ילדך, אם לא יטופל, מה הסיכוי שיבצע ניסיון אובדני בששת החודשים הקרובים?","0, 0-לא סביר כלל | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10- בסבירות גבוהה מאוד",,,,,,,,,,pps_2_m,,
ecr_1_m,ecr_m,"המשפטים שלפניך מתייחסים לאיך את מרגיש/ה במערכות יחסים קרובות עם אנשים אחרים. במשפטים אלה המונח ""אנשים אחרים"" מתייחס לאנשים הנמצאים ביחסים קרובים איתך. אנו מתעניינים בדרך שבה את/ה חווה בדרך כלל מערכות יחסים. התייחס/י לכל משפט על ידי דירוג עד כמה את מסכים/ה או אינך מסכים/ה אתו:",radio,"אני מעדיף/ה לא להראות לאנשים אחרים כיצד אני מרגיש/ה בפנים","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_2_m,ecr_m,,radio,"אני מודאג/ת מכך שאנטש","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_3_m,ecr_m,,radio,"אני מרגיש/ה בנוח להיות קרוב/ה לאנשים אחרים","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_4_m,ecr_m,,radio,"אני דואג/ת לגבי מערכות היחסים שלי","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_5_m,ecr_m,,radio,"אני מתרחק/ת כאשר אנשים אחרים מתחילים להתקרב אליי","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_6_m,ecr_m,,radio,"אני מודאג/ת שמא לאנשים אחרים לא יהיה אכפת ממני באותה מידה שבה לי אכפת מהם","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_7_m,ecr_m,,radio,"אני מרגיש/ה לא בנוח כאשר אנשים אחרים רוצים להיות קרובים אליי","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_8_m,ecr_m,,radio,"אני מודאג/ת מכך שאאבד את האנשים הקרובים אליי","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_9_m,ecr_m,,radio,"אני לא מרגיש/ה בנוח להיפתח לאנשים אחרים","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_10_m,ecr_m,,radio,"הייתי רוצה שרגשותיהם של אנשים אחרים כלפיי יהיו חזקים כמו רגשותיי כלפיהם","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_11_m,ecr_m,,radio,"אני רוצה להתקרב לאנשים אחרים אבל ממשיך/ה לסגת מהם","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_12_m,ecr_m,,radio,"לעיתים קרובות אני רוצה להתמזג באופן מוחלט עם אנשים אחרים, וזה לפעמים מרחיק אותם ממני","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_13_m,ecr_m,,radio,"אני נעשה מתוח/ה כאשר אנשים אחרים מתקרבים אליי יותר מדי","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_14_m,ecr_m,,radio,"אני חושש/ת מלהיות לבד","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_15_m,ecr_m,,radio,"אני מרגישה/ה בנוח לחלוק את המחשבות והרגשות הפרטיים שלי עם אנשים אחרים","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_16_m,ecr_m,,radio,"הרצון שלי להיות מאוד קרוב/ה, לעיתים מרחיק ממני אנשים","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_17_m,ecr_m,,radio,"אני מנסה להימנע מלהתקרב יותר מדי לאנשים אחרים","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_18_m,ecr_m,,radio,"אני נזקק/ת להרבה אישורים לכך שאני אהוב/ה על ידי אנשים הקרובים אליי","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_19_m,ecr_m,,radio,"אני מרגיש שזה קל לי יחסית להתקרב לאנשים אחרים","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_20_m,ecr_m,,radio,"לפעמים אני מרגיש/ה שאני מכריח/ה אנשים אחרים להראות יותר רגשות ויותר מחויבות","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_21_m,ecr_m,,radio,"קשה לי להיות תלוי/ה באנשים אחרים","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_22_m,ecr_m,,radio,"אינני מודאג/ת לעיתים קרובות מדי מכך שיינטשו אותי","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_23_m,ecr_m,,radio,"אני מעדיף/ה שלא להיות קרוב מדי לאנשים אחרים","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_24_m,ecr_m,,radio,"אם אינני מצליח/ה לגרום לאנשים אחרים לראות בי עניין, אני נעשה/ית כועס/ת או מתוסכל/ת","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_25_m,ecr_m,,radio,"אני מספר/ לאנשים הקרובים אליי הכל","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_26_m,ecr_m,,radio,"אני מרגיש/ה שאנשים אחרים אינם רוצים להתקרב כפי שאני הייתי רוצה","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_27_m,ecr_m,,radio,"בדרך כלל אני דן/ה בבעיות ובדאגות שלי עם אנשים הקרובים אליי","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_28_m,ecr_m,,radio,"כאשר אני לא מעורב/ת במערכת יחסים, אני מרגיש/ה חרדה וחוסר ביטחון מסוים","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_29_m,ecr_m,,radio,"אני מרגיש/ה בנוח להיות תלוי/ה באנשים אחרים","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_30_m,ecr_m,,radio,"אני נעשה/ית מתוסכל/ת כאשר אנשים אחרים לא נמצאים איתי במידה בה הייתי רוצה שיהיו","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_31_m,ecr_m,,radio,"לא אכפת לי לפנות לאנשים אחרים על מנת לבקש נחמה, עצה או עזרה","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_32_m,ecr_m,,radio,"אני נעשה/ית מתוסכל/ת אם אנשים אחרים אינם זמינים כאשר אני זקוק/ה להם","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_33_m,ecr_m,,radio,"זה עוזר לי לפנות לאנשים אחרים ברגעים שאני זקוק/ה להם","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_34_m,ecr_m,,radio,"כאשר אנשים אחרים אינם נותנים לי אישור, אני מרגיש/ה ממש רע לגבי עצמי","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_35_m,ecr_m,,radio,"אני פונה לאנשים אחרים בקשר להרבה דברים כולל נחמה ואישור","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
ecr_36_m,ecr_m,,radio,"זה מעורר בי התנגדות כאשר אנשים הקרובים אליי מבלים זמן רב הרחק ממני","1, 1-מאוד לא מסכים/ה | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7-מאוד מסכים/ה",,,,,,,y,,,ecr_m,,
cts_p_1_m,cts_m,"לפעמים דברים מפחידים או מטרידים קורים לאנשים.
הדברים האלו יכולים להשפיע על איך שאנחנו חושבים, מרגישים ופועלים.
האם משהו מהדברים הבאים קרה לבנך/בתך?",radio,"האם בנך/בתך אי פעם ראה/ראתה אנשים דוחפים, מכים, זורקים דברים אחד על השני, פוצעים או מנסים לפצוע אחד את השני?","0, לא | 1, כן",,,,,,,,,,cts_p_m,,
cts_p_2_m,cts_m,,radio,"האם מישהו/י אי פעם פגע בבנך/בתך? הכה/הכתה או בעט/ה בהם חזק עם הידיים, חגורה או חפצים אחרים?","0, לא | 1, כן",,,,,,,,,,cts_p_m,,
cts_p_3_m,cts_m,,radio,"האם מישהו/י אי פעם נגע באיברים פרטיים בגופ/וה של בנך/בתך? או גרם/ה לו/לה לגעת באיברים פרטיים של האחר/ת?","0, לא | 1, כן",,,,,,,,,,cts_p_m,,
cts_p_4_m,cts_m,,radio,"האם משהו אחר מפחיד או מטריד קרה לבנך/בתך? (למשל מוות או פרידה ממישהו אהוב, להישאר לבד הרבה זמן בלי השגחה, לא היה מספיק אוכל, תאונה או מחלה קשה, שריפה, נשיכת בעל חיים או בריונות?)","0, לא | 1, כן",,,,,,,,,,cts_p_m,,
cts_p_4_1_m,cts_m,,notes,"נא פרט/י מה זה היה",,,,,,,"[cts_p_4_m] = '1'",,,,,,
moas_0_m,moas_m,,radio,משמרת,"1, בוקר | 2, ערב",,,,,,,,,,,," @HIDDEN"
moas_1_m,moas_m,"תקריות מילוליות",radio,"כמה פעמים ילדך צעק/ה, קילל/ה או העליב/ה אנשים, אך הפסיק/ה במהירות?","0, 0-1 פעמים | 1, 2-4 פעמים | 2, 5 פעמים או יותר",,,,,,,,,,moas_1_m,,
moas_2_m,moas_m,,radio,"כמה פעמים ילדך צעק/ה בכעס, קילל/ה או העליב/ה אנשים באופן חזרתי שיצא מכלל שליטה, במהלך אפיזודות שנמשכו פחות מ-5 דקות?","0, 0-1 פעמים | 1, 2-4 פעמים | 2, 5 פעמים או יותר",,,,,,,,,,moas_1_m,,
